image_filename,destination_name,source_url,license,date_downloaded,downloaded_by
kelaniya_raja_maha_vihara_1.jpg,Kelaniya Raja Maha Vihara,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c4/Kelaniya_Temple_%28Kelaniya_Raja_Maha_Vihara%29_%285440490106%29.jpg/960px-Kelaniya_Temple_%28Kelaniya_Raja_Maha_Vihara%29_%285440490106%29.jpg,,,
ruwanwelisaya_1.jpg,Ruwanwelisaya,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/SL_Anuradhapura_asv2020-01_img11_Ruwanwelisaya_Stupa.jpg/960px-SL_Anuradhapura_asv2020-01_img11_Ruwanwelisaya_Stupa.jpg,,,
jetavanaramaya_1.jpg,Jetavanaramaya,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/SL_Anuradhapura_asv2020-01_img24_Jetavanaramaya_Stupa.jpg/960px-SL_Anuradhapura_asv2020-01_img24_Jetavanaramaya_Stupa.jpg,,,
abhayagiri_vihara_1.jpg,Abhayagiri Vihāra,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/SL_Anuradhapura_asv2020-01_img31_Abhayagiriya_Stupa.jpg/960px-SL_Anuradhapura_asv2020-01_img31_Abhayagiriya_Stupa.jpg,,,
thuparamaya_1.jpg,Thuparamaya,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/SL_Anuradhapura_asv2020-01_img34_Thuparamaya_Stupa.jpg/960px-SL_Anuradhapura_asv2020-01_img34_Thuparamaya_Stupa.jpg,,,
embekka_devalaya_1.jpg,Embekka Devalaya,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Embekka_Devalaya_%285%29.jpg/960px-Embekka_Devalaya_%285%29.jpg,,,
seetha_amman_temple_1.jpg,Seetha Amman Temple,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Seetha_amman_temple_2017-10-23_%282%29.jpg/960px-Seetha_amman_temple_2017-10-23_%282%29.jpg,,,
totapolakanda_1.jpg,Totapolakanda,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Thotupola_kanda_1.JPG/960px-Thotupola_kanda_1.JPG,,,
namunukula_1.jpg,Namunukula,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Namunukula.jpg/960px-Namunukula.jpg,,,
ritigala_1.jpg,Ritigala,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Pathway_to_Ritigala_Monastery_-SriLanka.png/960px-Pathway_to_Ritigala_Monastery_-SriLanka.png,,,
yapahuwa_1.jpg,Yapahuwa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Yapahuwa_Staricase_2_cdm.jpg/960px-Yapahuwa_Staricase_2_cdm.jpg,,,
temple_of_the_tooth_1.jpg,Temple of the Tooth,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/SL_Kandy_asv2020-01_img34_Sacred_Tooth_Temple.jpg/960px-SL_Kandy_asv2020-01_img34_Sacred_Tooth_Temple.jpg,,,
lankatilaka_vihara_1.jpg,Lankatilaka Vihara,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4d/Lankatilaka_Vihara_-_Entr%C3%A9e.JPG/960px-Lankatilaka_Vihara_-_Entr%C3%A9e.JPG,,,
pidurangala_vihara_1.jpg,Pidurangala Vihara,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Pidurangala_Vihara.jpg/960px-Pidurangala_Vihara.jpg,,,
alakola_ella_1.jpg,Alakola Ella,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Alakola_ella.jpg/960px-Alakola_ella.jpg,,,
galboda_ella_1.jpg,Galboda Ella,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d1/Galboda_Ella.jpg/960px-Galboda_Ella.jpg,,,
sera_ella_falls_1.jpg,Sera Ella,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Sera_Ella_Falls.jpg/960px-Sera_Ella_Falls.jpg,,,
pidurutalagala_1.jpg,Pidurutalagala,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/SL_Nuwara_Eliya_asv2020-01_img13_Mount_Pedro.jpg/960px-SL_Nuwara_Eliya_asv2020-01_img13_Mount_Pedro.jpg,,,
lakegala_1.jpg,Lakegala,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Lakegala_jpg.jpg/960px-Lakegala_jpg.jpg,,,
hanthana_mountain_range_1.jpg,Hanthana Mountain Range,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Hanthana_Mountain_Range%2C_Sri_Lanka.jpg/960px-Hanthana_Mountain_Range%2C_Sri_Lanka.jpg,,,
great_western_mountain_1.jpg,Great Western Mountain,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Great_Western_Mountain.jpg/960px-Great_Western_Mountain.jpg,,,
jaya_sri_maha_bodhi_1.jpg,Jaya Sri Maha Bodhi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Sri_Maha_Bodhi%2C_Anuradhapura.jpg/960px-Sri_Maha_Bodhi%2C_Anuradhapura.jpg,,,
